CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
714002658,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,34,5,4,2,27732,1623,26109,45%,1413,31,72%,6%
711509658,Attrited Customer,61,M,2,Graduate,Married,$120K +,Blue,49,3,0,4,11374,2517,8857,102%,1088,26,117%,22%
720662508,Existing Customer,39,M,1,Graduate,Married,$120K +,Blue,25,6,3,2,5764,1529,4235,136%,1972,38,52%,27%
789577833,Existing Customer,56,M,2,Graduate,Married,$120K +,Blue,49,4,1,4,8902,1932,6970,78%,969,29,107%,22%
787570758,Existing Customer,35,M,2,Uneducated,Married,$120K +,Blue,26,3,3,4,2944,1596,1348,74%,2070,44,47%,54%
720610008,Attrited Customer,59,M,1,College,Married,$120K +,Blue,50,1,5,4,15796,812,14984,72%,1339,23,15%,5%
710893533,Existing Customer,53,M,1,Unknown,Married,$120K +,Blue,42,4,1,4,8329,877,7452,43%,1570,56,33%,11%
816094233,Existing Customer,37,M,1,High School,Married,$120K +,Blue,32,6,2,2,17393,1409,15984,61%,1692,38,65%,8%
807141183,Existing Customer,34,M,1,Graduate,Married,$120K +,Blue,29,4,3,2,14938,1412,13526,68%,1930,36,64%,10%
813230208,Existing Customer,45,M,4,College,Single,$120K +,Blue,40,3,3,3,2900,1782,1118,135%,4686,64,56%,61%
711224733,Attrited Customer,32,M,0,High School,Married,$120K +,Blue,27,3,3,4,22382,0,22382,42%,695,10,25%,0%
718360083,Existing Customer,39,M,4,Uneducated,Married,$120K +,Blue,36,6,3,2,25790,1798,23992,97%,2443,70,56%,7%
713769258,Existing Customer,36,M,3,College,Married,$120K +,Blue,26,3,2,3,17116,939,16177,158%,2547,45,73%,6%
721310283,Existing Customer,47,M,3,Graduate,Single,$120K +,Blue,36,6,2,4,34516,933,33583,95%,1804,32,60%,3%
779852133,Existing Customer,48,M,2,Unknown,Married,$120K +,Silver,32,3,2,4,34516,2098,32418,74%,3093,66,78%,6%
708892833,Attrited Customer,37,M,2,Graduate,Married,$120K +,Blue,30,2,4,4,13662,0,13662,15%,725,22,0%,0%
801726933,Existing Customer,34,M,2,Graduate,Married,$120K +,Blue,28,4,3,3,13384,1853,11531,81%,1899,33,83%,14%
771169458,Existing Customer,41,M,4,College,Married,$120K +,Blue,28,5,3,0,28020,1470,26550,123%,1723,36,125%,5%
757024233,Existing Customer,34,M,2,Graduate,Single,$120K +,Blue,27,3,1,4,31313,2152,29161,68%,2555,62,68%,7%
789297558,Existing Customer,36,M,1,Uneducated,Single,$120K +,Blue,25,6,3,2,7049,1932,5117,80%,2602,51,55%,27%
744764433,Existing Customer,55,M,2,Uneducated,Married,$120K +,Blue,48,5,2,3,30967,817,30150,38%,1473,35,52%,3%
718577958,Attrited Customer,39,M,2,Uneducated,Married,$120K +,Blue,26,2,3,4,8906,0,8906,32%,809,15,25%,0%
772360683,Existing Customer,57,M,1,High School,Married,$120K +,Blue,46,3,3,4,31762,2517,29245,74%,1515,36,71%,8%
720181758,Attrited Customer,37,M,0,Doctorate,Married,$120K +,Blue,22,3,3,4,8654,0,8654,45%,850,18,39%,0%
711836733,Existing Customer,43,M,3,Graduate,Single,$120K +,Blue,31,3,3,3,1438.3,0,1438.3,66%,1867,45,88%,0%
716399583,Existing Customer,34,M,1,Uneducated,Married,$120K +,Blue,36,6,2,1,19630,1251,18379,140%,2286,39,70%,6%
798140283,Existing Customer,57,M,4,Graduate,Married,$120K +,Blue,51,4,3,1,10711,1970,8741,71%,1180,29,142%,18%
720427683,Attrited Customer,58,M,2,Uneducated,Single,$120K +,Blue,46,2,3,4,16163,0,16163,54%,2171,48,78%,0%
720909408,Existing Customer,37,M,2,High School,Divorced,$120K +,Blue,24,4,2,2,3497,1665,1832,63%,2337,61,56%,48%
717930483,Attrited Customer,37,M,2,Graduate,Single,$120K +,Blue,25,3,3,0,5616,0,5616,100%,1564,31,48%,0%
710449983,Existing Customer,38,M,2,High School,Married,$120K +,Blue,29,4,1,2,2818,1656,1162,140%,2916,45,96%,59%
708243483,Existing Customer,53,M,3,College,Married,$120K +,Blue,43,4,2,5,14938,1155,13783,100%,2248,51,65%,8%
717348258,Existing Customer,33,M,1,Graduate,Married,$120K +,Blue,21,4,1,3,4459,1899,2560,135%,2502,48,100%,43%
799026633,Existing Customer,56,M,1,Uneducated,Married,$120K +,Blue,50,4,3,5,16254,1518,14736,126%,2502,55,57%,9%
721288158,Existing Customer,33,M,2,Unknown,Single,$120K +,Blue,15,4,2,2,25033,2300,22733,72%,2529,71,58%,9%
787284858,Existing Customer,35,M,2,Uneducated,Unknown,$120K +,Blue,29,5,1,2,3300,1731,1569,69%,1745,27,93%,53%
711173883,Existing Customer,36,M,4,Graduate,Divorced,$120K +,Blue,29,3,2,2,1651,770,881,74%,2516,54,39%,47%
716460933,Existing Customer,51,M,2,Unknown,Married,$120K +,Blue,42,4,1,4,10306,1427,8879,71%,1456,44,29%,14%
721443408,Existing Customer,46,M,2,Uneducated,Single,$120K +,Blue,33,6,2,3,34516,676,33840,81%,3508,58,87%,2%
711625683,Existing Customer,46,M,4,Doctorate,Married,$120K +,Blue,36,3,2,5,3104,862,2242,106%,2781,74,68%,28%
718435158,Existing Customer,50,M,3,High School,Married,$120K +,Blue,40,5,1,4,34516,0,34516,99%,1930,36,44%,0%
718970058,Existing Customer,38,M,3,Unknown,Married,$120K +,Blue,33,5,3,4,30746,1168,29578,65%,1519,43,72%,4%
810856833,Existing Customer,45,M,4,College,Unknown,$120K +,Blue,40,3,2,2,11962,1025,10937,69%,1907,52,93%,9%
778943883,Existing Customer,51,M,2,Uneducated,Single,$120K +,Blue,36,5,2,4,34516,888,33628,130%,1959,42,91%,3%
717192933,Existing Customer,55,M,0,Graduate,Married,$120K +,Blue,42,3,2,1,8302,2517,5785,66%,1576,34,79%,30%
713533983,Existing Customer,56,M,1,Graduate,Married,$120K +,Blue,48,6,3,4,2585,1207,1378,44%,1590,33,32%,47%
710023233,Existing Customer,36,M,3,Graduate,Single,$120K +,Blue,36,6,2,4,24457,1300,23157,91%,2739,65,91%,5%
789101883,Existing Customer,32,M,3,Unknown,Single,$120K +,Blue,20,6,2,2,14244,1673,12571,70%,2729,66,54%,12%
801048483,Existing Customer,34,M,3,Uneducated,Divorced,$120K +,Blue,28,4,3,3,9180,1814,7366,63%,2646,49,63%,20%
718229133,Existing Customer,51,M,2,College,Married,$120K +,Blue,41,6,2,4,23742,0,23742,77%,3783,57,68%,0%
804310758,Existing Customer,58,M,3,Graduate,Married,$120K +,Blue,52,5,2,5,17934,1578,16356,59%,2005,48,78%,9%
780094008,Existing Customer,55,M,3,Doctorate,Married,$120K +,Blue,40,4,3,1,12875,1119,11756,40%,1624,40,43%,9%
709096908,Existing Customer,57,M,2,Graduate,Married,$120K +,Blue,49,6,3,1,4698,984,3714,37%,1865,35,46%,21%
751469808,Existing Customer,36,M,3,Graduate,Married,$120K +,Blue,29,5,2,4,12852,1945,10907,66%,1606,33,94%,15%
715392558,Existing Customer,52,M,1,Unknown,Single,$120K +,Blue,44,6,1,2,34516,0,34516,103%,2848,56,75%,0%
716768808,Existing Customer,57,M,1,Unknown,Married,$120K +,Blue,36,6,2,4,23848,1967,21881,46%,1591,43,72%,8%
708292833,Existing Customer,35,M,2,High School,Single,$120K +,Blue,36,4,2,3,27389,1250,26139,64%,2754,60,46%,5%
716864733,Existing Customer,47,M,3,College,Married,$120K +,Silver,27,6,3,3,34516,2315,32201,60%,1805,46,70%,7%
720228708,Existing Customer,56,M,2,High School,Married,$120K +,Blue,46,4,1,3,27029,1347,25682,38%,1302,27,42%,5%
